mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_cvec__max_df,param_cvec__max_features,param_cvec__min_df,param_cvec__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.03143906593322754,0.00749939629935871,0.010779237747192383,0.006348440818574421,0.9,5000,3,"(1, 1)","{'cvec__max_df': 0.9, 'cvec__max_features': 5000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 1)}",0.7357859531772575,0.725752508361204,0.6889632107023411,0.7224080267558528,0.7114093959731543,0.716863818993962,0.015974910791346223,19
0.09673557281494141,0.004222805638996394,0.015552663803100586,0.0071634606395540685,0.9,5000,3,"(1, 2)","{'cvec__max_df': 0.9, 'cvec__max_features': 5000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 2)}",0.7391304347826086,0.7123745819397993,0.6923076923076923,0.7625418060200669,0.7181208053691275,0.7248950640838588,0.024018796018427723,9
0.04061760902404785,0.007667515441805165,0.006259012222290039,0.0076656932026491304,0.95,3000,2,"(1, 1)","{'cvec__max_df': 0.95, 'cvec__max_features': 3000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 1)}",0.7357859531772575,0.7290969899665551,0.6822742474916388,0.7424749163879598,0.7348993288590604,0.7249062871764943,0.0217344774231788,3
0.09990406036376953,0.005428874918156187,0.016019296646118165,0.0007274207409088984,0.95,3000,2,"(1, 2)","{'cvec__max_df': 0.95, 'cvec__max_features': 3000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 2)}",0.7591973244147158,0.705685618729097,0.6889632107023411,0.7591973244147158,0.7214765100671141,0.7269039976655968,0.02830158457318763,1
0.03385906219482422,0.007163081620745557,0.007557392120361328,0.004983200662327951,0.95,3000,3,"(1, 1)","{'cvec__max_df': 0.95, 'cvec__max_features': 3000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 1)}",0.7357859531772575,0.725752508361204,0.6889632107023411,0.7224080267558528,0.7114093959731543,0.716863818993962,0.015974910791346223,19
0.10040826797485351,0.00647436706053146,0.014597225189208984,0.001300057693586097,0.95,3000,3,"(1, 2)","{'cvec__max_df': 0.95, 'cvec__max_features': 3000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 2)}",0.7391304347826086,0.7123745819397993,0.6889632107023411,0.7625418060200669,0.7181208053691275,0.7242261677627887,0.02494568895655232,13
0.037721872329711914,0.006897762047891809,0.008411645889282227,0.005797307277800928,0.95,4000,2,"(1, 1)","{'cvec__max_df': 0.95, 'cvec__max_features': 4000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 1)}",0.7357859531772575,0.7290969899665551,0.6822742474916388,0.7424749163879598,0.7348993288590604,0.7249062871764943,0.0217344774231788,3
0.09985890388488769,0.007891863462338892,0.012246322631835938,0.0062575917781608715,0.95,4000,2,"(1, 2)","{'cvec__max_df': 0.95, 'cvec__max_features': 4000, 'cvec__min_df': 2, 'cvec__ngram_range': (1, 2)}",0.745819397993311,0.7157190635451505,0.6789297658862876,0.7591973244147158,0.714765100671141,0.7228861305021212,0.027906692837747674,15
0.03540329933166504,0.0062609369070478526,0.009664440155029297,0.005870234717598067,0.95,4000,3,"(1, 1)","{'cvec__max_df': 0.95, 'cvec__max_features': 4000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 1)}",0.7357859531772575,0.725752508361204,0.6889632107023411,0.7224080267558528,0.7114093959731543,0.716863818993962,0.015974910791346223,19
0.09690861701965332,0.007169759751352862,0.017864990234375,0.0032328761014956365,0.95,4000,3,"(1, 2)","{'cvec__max_df': 0.95, 'cvec__max_features': 4000, 'cvec__min_df': 3, 'cvec__ngram_range': (1, 2)}",0.7391304347826086,0.7123745819397993,0.6923076923076923,0.7625418060200669,0.7181208053691275,0.7248950640838588,0.024018796018427723,9
